# kh	pk
0.9884959046625573	70.15149613096624
1.047370897959448	61.37633004845108
1.10975249641207	53.6601965706431
1.1758495540521543	46.88158214033035
1.2458833642950071	40.9319267092711
1.3200884008314167	35.7142498809704
1.3987131026472366	31.142021446925323
1.482020705798856	27.13839798913508
1.5702901247293741	23.63523906537263
1.6638168860761278	20.572198869272434
1.7629141180959462	17.89588118520586
1.8679135990207805	15.559078129968595
1.9791668678535543	13.520089801370398
2.0970464013232286	11.742104798208578
2.221946860939519	10.192682589669555
2.354286414322416	8.84326679014417
2.4945081352303142	7.668738723293232
2.643081486974102	6.6470224039035
2.800503894183626	5.758737792916449
2.9673024081888637	4.986885308349176
3.144035471591493	4.316562989178168
3.3312947879346706	3.7347193991259493
3.5297073027306456	3.2299338462808977
3.739937302478792	2.7922192742368344
